Date,Month,Day,Year,WeekDay,Count,Institute,Program,Booking Event Type,financialYear
10/28/12,10,28,2012,Sunday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,3,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
10/28/12,10,28,2012,Sunday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/29/12,10,29,2012,Monday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/30/12,10,30,2012,Tuesday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/30/12,10,30,2012,Tuesday,5,"U of MD, Baltimore County",B.A. in Social Work,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,8,USG Internal,Office of Information Technology,USG Maintenance,FY2013
10/31/12,10,31,2012,Wednesday,4,"U of MD, College Park",All UMCP Programs (Program Director Use Only),Academic Event,FY2013
10/31/12,10,31,2012,Wednesday,6,"U of MD, College Park",B.A. in Criminology & Criminal Justice,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,5,"U of MD, College Park",M. Ed. Certification in Elem. & Sec. Subjects ,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,4,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Public Health,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,3,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore County",B.A. in Political Science,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,3,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,3,"U of MD, Baltimore County",M.P.S. in Industrial Organizational Psychology,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,5,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,5,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,2,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
10/31/12,10,31,2012,Wednesday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,USG Internal,Office of Information Technology,USG Maintenance,FY2013
11/1/12,11,1,2012,Thursday,6,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,USG Internal,Office of Information Technology,USG Maintenance,FY2013
11/1/12,11,1,2012,Thursday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,Towson University,B.S. in Early Childhood Education,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,3,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,3,"U of MD, Baltimore County",B.A. in Social Work,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,3,"U of MD, College Park",Master of Library Science (MLS),Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,U of MD Eastern Shore,B.S. in Hotel & Restaurant Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,4,"U of MD, Baltimore County",B.A. in Political Science,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,4,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,5,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,5,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/1/12,11,1,2012,Thursday,6,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,6,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,2,"U of MD, Baltimore County",M.P.S. in Industrial Organizational Psychology,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,4,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,2,U of MD Eastern Shore,B.S. in Hotel & Restaurant Management,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,3,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,2,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,3,"U of MD, College Park",Master of Business Administration (MBA),Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,3,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,6,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,5,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,6,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/2/12,11,2,2012,Friday,6,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,8,University of Baltimore,B.S. in Health Systems Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,7,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,6,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,3,"U of MD, College Park",Master of Information Management (MIM),Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,3,"U of MD, College Park",Master of Business Administration (MBA),Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,5,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/3/12,11,3,2012,Saturday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,6,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, University College",Undergraduate Programs,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, University College",Graduate Programs,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,Towson University,B.S. in Elementary & Special Education,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, Baltimore County",B.A. in Political Science,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/4/12,11,4,2012,Sunday,3,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",M.S. in Business & Management (Accounting),Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, Baltimore",M.S. in Nursing ,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,5,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,6,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,3,"U of MD, Baltimore County",M.P.S. in Industrial Organizational Psychology,Academic Study Session,FY2013
11/5/12,11,5,2012,Monday,4,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,USG Internal,Priddy Library,USG Staff Meeting,FY2013
11/6/12,11,6,2012,Tuesday,6,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,8,Towson University,B.S. in Elementary & Special Education,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,4,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,5,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,6,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,5,"U of MD, Baltimore",PharmD in Pharmacy,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.A. in Criminology & Criminal Justice,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,4,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, Baltimore County",B.A. in Political Science,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,4,U of MD Eastern Shore,B.S. in Hotel & Restaurant Management,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,4,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, Baltimore",B.S. in Nursing ,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, Baltimore County",B.A. in Psychology,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,3,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.A. in Communication,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, Baltimore County",B.A. in History,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.S. in Biological Sciences,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
11/6/12,11,6,2012,Tuesday,2,"U of MD, College Park",B.S. in Business Management,Academic Study Session,FY2013
