Request Date , Request # ,University,Semester,Year,Course, ISBN , Title , Author , pub_date , Call No , Syllabi , Comments
11/12/10,367257," University of Maryland, Baltimore ",Fall,2010, SOWK630 ,  , The social work skills workbook ," Cournoyer, Barry ",2005, HV11.C786 2005 , N , Deleted 1/13 
8/26/14,137667," University of Maryland, Baltimore ",Fall,2014, PHAR562 ,  , Strengths finder 2.0 , Tom Rath ,2007, HF5549.5.M63 R37 2007 , N , Entered 9/2 
8/13/14,558071," University of Maryland, Baltimore ",Fall,2014, PHAR562 , 978-1595620156 , Strengths finder 2.0 , Tom Rath ,2077, HF5549.5.M63 R37 2007 , N , Entered 9/2 
8/26/14,768967," University of Maryland, Baltimore ",Fall,2014, PHAR562 ,  ," Pharmacy management, leadership, marketing, and finance "," Marie A. Chisholm-Burns, Allison M. Vaillancourt, Marv Shepherd ",2011, RS100 .P483 2011 , N , Entered 8/13 
9/10/14,979554, Towson University ,Fall,2014, ELED429 ,9.78E+12," Understanding, Assessing, and Teaching Reading: A diagnostic Approach "," Michael F. Optiz, James A. Erekson ",2015, LB1050.42 .R83 2014 , N , Deleted 12/22; 0 loans 
11/8/12,250544," University of Maryland, College Park ",Spring,2013, COMM382 ,9.78E+12, Intercultural communication in contexts ," Martin, J.N., & Nakayama, T. K. ",2010, HM1211 .M373 2013 ,  , 22 loans; Deleted 5/21 
1/22/13,277352," University of Maryland, College Park ",Spring,2013, COMM382 ,  , DVD The Joy Luck club , Wayne wang ,1986,  , N , 0 loans; Deleted 5/21 
7/2/12,727518," University of Maryland, College Park ",Fall,2012, COMM398X , 978-0316036139 , Connected: The surprising power of our social networks and how they shape our lives-how your friends ," Christakis, Nicholas and Fowler, James "," Jan. 12, 2011 ", HM741 .C46 2011 , N , 4 loans; Deleted 1/6 
11/8/12,804156," University of Maryland, College Park ",Spring,2013, COMM382 , 978-1857882926 , Survival kit for overseas living ," Kohls, L. R. ",2001, E184.2 .K64 2001 , N , 14 loans; Deleted 5/21 
3/13/12,537667," University of Maryland, College Park ",Spring,2012, BMGT 365 ,  , Raising Capital:Get the Money You Need to Grow Your Business ," Sherman, Andrew J. ",2005, Professor's copy , N , Deleted 5/21 
9/10/14,279913, Towson University ,Fall,2014, SPED429 ,  , Comprehensive classroom management: creating communities of support and solving problems ," V. Jones, L. Jones ",2010, LB3013 .J66 2010 , Y , Deleted 12/21; 0 loans 
3/1/12,753992," University of Maryland, Baltimore County ",Summer,2012, POLI440 ,9.78E+12, City Politics , Dennis R. Judd and Todd R. Swanstrom ,2012, JS331 .J78 2012 , N , Deleted 8/14 
12/12/14,106329," University of Maryland, College Park ",Spring,2015, COMM498T , ISBN-10 0134046781 ISBN-13 9780134046785 , New New Media , Levinson ,2014, MCK ZA4150 .L48 2013 , N , Entered 12/17
8/1/14,113560," University of Maryland, College Park ",Fall,2014, COMM498K ,822354101, Not Hollywood: Independent Film at the Twilight of the American Dream ," Ortner, Sheri B "," February 27, 2013 ", PN1993.5.U6 O76 2013 , N , Deleted 12/22; 2 loans 
8/1/14,117876," University of Maryland, College Park ",Fall,2014, COMM498J , 020521102X , Movies and Meaning , Stephen Prince ," February 5, 2012 ", PN1994 .P676 2013 , N , Deleted 12/22; 6 loans 
8/1/14,124421," University of Maryland, College Park ",Fall,2014, COMM498J , 978-0321919380 , Adobe Premiere Pro CC Classroom in a Book , Adobe Creative Team ," July 28, 2013 ", TR 899 .A3763 2014 , N , ENTERED 08-21-2014 
11/11/15,169803," University of Maryland, College Park ",Spring,2016, COMM498Q ,9.78E+12, Film: A Critical Introduction ," Pramaggiore, Wallis ",2011, PN1994 .P663 2011 , N , on reserve 1-4-2016
12/12/14,188348," University of Maryland, College Park ",Spring,2015, COMM498Q , 0205078621 ISBN-13 9780205078622 , Complete Guide to Film and Digital Production: The People and The Process , Lorene Wales ,2011, PN1995.9.P7 W344 2011 , N , Entered 1/13
8/1/14,239604," University of Maryland, College Park ",Fall,2014, COMM498J ,1565845129, On Television ," Bourdieu, Pierre "," April 1, 1999 ", MCK PN4784.T4 B68 1998 , N , Deleted 12/22; 0 loans 
11/11/15,273139," University of Maryland, College Park ",Spring,2016, COMM498N , 978-0075536239 ," Hollywood Genres: Formulas, Filmmaking and the Studio System ", Thomas Schatz ,1981, PN1993.5.U6 S32 1981b , N , on reserve 01/13/16
11/11/15,284026," University of Maryland, College Park ",Spring,2016, COMM498Q ,9.78E+12, Complete Guide to Film and Digital Production: The People and The Process , Wales ,2011, PN1995.9.P7 W344 2011 , N , on reserve 01/13/16
8/1/14,305699," University of Maryland, College Park ",Fall,2014, COMM498L ,809005271, The Poetics , Aristotle (Butcher Translation) ," January 1, 1961 ", MCK PN1040 .A513 1982 , N , Deleted 12/22; 3 loans 
11/11/15,306616," University of Maryland, College Park ",Spring,2016, COMM498T ,9.78E+12, Discipline and Punish: The Birth of the Prison , Michel Foucault ,1995, HV8666 .F6813 1995 , N , On Reserves 12-15-15
8/1/14,306970," University of Maryland, College Park ",Fall,2014, COMM375 ,321981928," The Art of the Documentary: Fifteen Conversations with Leading Directors, Cinematographers, Edit "," Cunningham, Megan "," April 28, 2014 ", PN1995.9.D6 C76 2014 , N , Deleted 12/21; 8 loans 
12/12/14,307642," University of Maryland, College Park ",Spring,2015, COMM498T , ISBN-10 0679752552 ISBN-13  978-0679752554 , Discipline and Punish: The Birth of the Prison , Michel Foucault ,1995, MCK HV8666 .F6813 1995 ,  , Entered 1/13
11/11/15,314454," University of Maryland, College Park ",Spring,2016, COMM498T ,9.78E+12, Adobe After Effects CC Classroom in a Book , Faulkner & Gyncild ,2015, TR858 .F38 2015 , N , On Reserve 11-30-15 (TE)
12/12/14,391742," University of Maryland, College Park ",Spring,2015, COMM498Q , 0205770770 _Ñ¢ ISBN-13: 978020577077 , Film: A Critical Introduction ," Pramaggiore, Wallis ",2011, PN1994 .P663 2011 , N , Entered 1/13
8/1/14,426682," University of Maryland, College Park ",Fall,2014, COMM498J , 032183268X , Adobe Creative Suite 6 Production Premium Classroom in a Book , Adobe Creative Team ," August 13, 2012 ", TR 899 .A33 2013 , N , Deleted 12/22; 1 loan 
11/11/15,435326," University of Maryland, College Park ",Spring,2016, COMM498T ,9.78E+12, New New Media , Levinson ,2014, ZA4150 .L48 2013 , N , on reserve 12-11-2015
11/11/15,447958," University of Maryland, College Park ",Spring,2016, COMM498N ,253215056, European Film Theory and Cinema , Ian Atkin ,2001, PN1995 .A29 2001 , N , on reserve under COMM375 01/13/16 
8/1/14,514012," University of Maryland, College Park ",Fall,2014, COMM498L ,1932907009, Save the Cat! The last book on screenwriting you'll ever need ," Snyder, Blake "," May 25, 2005 ", PN1996 .S65 2005 , N , Deleted 12/22; 6 loans 
11/11/15,523988," University of Maryland, College Park ",Spring,2016, COMM498N ,9.78E+12," Genre Filmmaking: A Visual Guide to Shots and Style, 1st ed. "," Draven, Danny ",2016, TR850 .D73 2013 , N , on reserve 01/13/16
8/1/14,560995," University of Maryland, College Park ",Fall,2014, COMM498K ,9.78E+12, Understanding Movies ," Gianetti, Louis "," July 13, 2013 ", PN1994 .G47 2013 , N , Deleted 12/22; 18 loans 
12/12/14,571372," University of Maryland, College Park ",Spring,2015, COMM376 , 0536985650 ISBN-13 9780536985651 , Writing for Multimedia: A Guide and Sourcebook for the Digital Writer , Korolenko ,2005, QA76.575 .K67 2005 , N , Entered 1/25
8/1/14,592735," University of Maryland, College Park ",Fall,2014, COMM498L ,62730665, How to write a movie in 21 days : the inner movie method ," King, Viki "," September 15, 1993 ", PN1996 .K48 2005 , N , Deleted 12/22; 1 loan 
12/12/14,596590," University of Maryland, College Park ",Spring,2015, COMM498T , ISBN-10 0133928268 ISBN-13 9780133928266 , Adobe After Effects CC Learn by Video (2014 release) , Peachpit Press ,2015, TR858 .A36 2015 , N , Entered 3/19
8/1/14,600453," University of Maryland, College Park ",Fall,2014, COMM498K ,472065211, Simulacra and Simulation ," Baudrillard, Jean "," February 15, 1995 ", MCK BD236 .B3813 1994 , N , Deleted 12/17; 3 loans 
12/12/14,606133," University of Maryland, College Park ",Spring,2015, COMM498N , 0240824210 ISBN-13 978-0240824215 , Genre Filmmaking: A Visual Guide to Shots and Style ," Draven, Danny ",2013, TR850 .D73 2013 , N , Entered 1/13
8/1/14,620438," University of Maryland, College Park ",Fall,2014, COMM375 ,205644554," Documentary Media: History, Theory, Practice ", Broderick Fox ," November 2, 2009 ", PN1995.9.D6 F69 2010 , N , Deleted 12/22; 17 loans 
12/12/14,673188," University of Maryland, College Park ",Spring,2015, COMM498N ,253215056, European Film Theory and Cinema , Ian Atkin ,2001, PN1995 .A29 2001 , N , Entered 1/25
12/12/14,711245," University of Maryland, College Park ",Spring,2015, COMM498N , ISBN-10 0075536234 ISBN-13 978-0075536239 ," Hollywood Genres: Formulas, Filmmaking and the Studio System ", Thomas Schatz ,1981, MCK PN1993.5.U6 S32 1981b , N , Entered 12/21
11/11/15,726547," University of Maryland, College Park ",Spring,2016, COMM498N ,9.78E+12, Screenwriting for Film and Television , Miller ,1998, PN1996 .M62 1998 , N , on reserve 01/13/16
7/23/15,766688," University of Maryland, College Park ",Fall,2015, COMM498J ,9.78E+12, Adobe Premiere Pro CC Classroom in a Book (2014 release) ," Jago, Maxim ",2014,  ,  , 25 LOANS 
11/11/15,771062," University of Maryland, College Park ",Spring,2016, COMM498Q ,9.78E+12, The Field of Cultural Production , Pierre Bourdieu ,1993, NX180.S6 B68 1993 , N , On reserve 01/13/16 
8/1/14,829493," University of Maryland, College Park ",Fall,2014, COMM375 , 978-0-231-08287-7 , The Field of Cultural Production ," Bourdieu, Pierre "," April 15, 1993 ", NX180.S6 B68 1993 , N , Deleted 12/17; 2 loans 
8/1/14,925544," University of Maryland, College Park ",Fall,2014, COMM498L ,1604501065, Laughter: An Essay on the Meaning of the Comic , Henri Bergson ," March 1, 2008 ", PN6149.P5 B413 2000z , N , Deleted 12/22; 1 loan 
8/1/14,933360," University of Maryland, College Park ",Fall,2014, COMM498L ,385339038, Screenplay: The Foundations of Screenwriting ," Field, Syd "," November 29, 2005 ", PN1996 .F43 2005 , N , Deleted 12/22; 12 loans 
8/1/14,943727," University of Maryland, College Park ",Fall,2014, COMM375 ,253215056, European Film Theory and Cinema ," Atkin, Ian "," August 1, 2001 ", MCk PN1995 .A29 2001 ,  , Deleted 12/17; 4 loans 
11/11/15,947607," University of Maryland, College Park ",Spring,2016, COMM498T ,9.78E+12, Adobe After Effects CC Learn by Video , Peachpit Press ,2015, TR858 .A36 2015 , N , on reserve 11-13-2015 (Duc) 
12/12/14,954461," University of Maryland, College Park ",Spring,2015, COMM376 ,472065211, Simulacra and Simulation , Jean Baudrillard ,1995, BD236 .B3813 1994 , N , Entered 12/17
12/12/14,981230," University of Maryland, College Park ",Spring,2015, COMM498Q , 978-0-231-08287-7 , The Field of Cultural Production , Pierre Bourdieu ,1993, NX180.S6 B68 1993 , N , Entered 12/17
12/12/14,983249," University of Maryland, College Park ",Spring,2015, COMM498N , 0205272991 ISBN-13 9780205272990 , Screenwriting for Film and Television , William Miller ,1997, PN1996 .M62 1998 , N , Entered 1/13
12/12/14,991073," University of Maryland, College Park ",Spring,2015, COMM376 , 0205031978  ISBN-13 9780205031979 , Strategic Writing ," Marsh, Guth & Short ",2012, PE1479.B87 M35 2012 , N , Entered 1/13
12/12/14,994582," University of Maryland, College Park ",Spring,2015, COMM498T , 0133927032 ISBN-13 9780133927030 ," Adobe After Effects CC Classroom in a Book (2014 release), ", Faulkner & Gyncild ,2014, TR858 .F38 2015 , N , Entered 1/25
9/16/14,212243," University of Maryland, Baltimore County ",Fall,2014, PSYC335 , 978-0465031597 ," Permanent Present Tense: The Unforgettable Life of the Amnesic Patient, H. M. ", Suzanne Corkin ," May 14, 2013 ", RC394.A5 C58 2013 , N , Deleted 12/18; 2 loans 
8/5/14,954029," University of Maryland, Baltimore County ",Fall,2014, PSYC335 ,9.78E+12, Biopsychology , John P.J. Pinel ,2014, QP360 .P463 2014 , N , Deleted 12/18; 22 loans 
11/17/10,324042," University of Maryland, College Park ",Fall,2010, LBSC635 ,  ," The knowing organization : how organizations use information to construct meaning, create knowledge, ", Chun Wei Choo ,2006, HD30.3.C46 2006 ,  , Deleted 1/19 
11/17/10,591703," University of Maryland, College Park ",Fall,2010, LBSC635 ,  , The Post-bureaucratic organization : new perspectives on organizational change ," Charles Heckscher, Anne Donnellon ",1994, MCK HD58.8.P675 1994 , N , Deleted 1/19 
11/17/10,769072," University of Maryland, College Park ",Fall,2010, LBSC635 ,  , Personal space; the behavioral basis of design ," Sommer, Robert ",1969, MCK BF469.S64 , N , Deleted 1/19 
8/7/13,838417," University of Maryland, College Park ",Fall,2013, INST660 , 978-1-61069-196-3 , Leadership for the 21st Century ," Prentice, Ann ",2013, HM1261 .P74 2013 , N , 0 loans; Deleted 1/15 
11/17/10,856986," University of Maryland, College Park ",Fall,2010, LBSC635 ,  , Leaders in libraries :styles and strategies for success , Brooke E. Sheldon ,1991, MCK Z682.4.A34S49 1991 , N , Deleted 1/19 
11/17/10,906907," University of Maryland, College Park ",Fall,2010, LBSC635 ,  ," Perspectives, insights & priorities : 17 leaders speak freely of librarianship ", Norman Horrocks ,2005, MCK Z665.P4875 2005 , N , Deleted 1/19 
9/15/10,935204," University of Maryland, College Park ",Fall,2010, LBSC635 ,875843115, Managing People and Organizations ," Gabarro, John J ",1991, UG Lib HD31 M293918 1992 , N , Deleted 1/19 
9/16/14,148521," University of Maryland, Baltimore County ",Fall,2014, PSYC335 , 978-0684853949 , The Man Who Mistook His Wife for a Hat , Oliver Sacks ," April 2, 1998 ", RC351 .S195 1998 , N , Deleted 12/18; 1 loan 
9/16/14,298110," University of Maryland, Baltimore County ",Fall,2014, PSYC335 , 978-0618494781 , Phineas Gage: A Gruesome but True Story About Brain Science , John Fleischman ," November 1, 2004 ", RC387.5 .F565 2002 , N , Deleted 12/18; 1 loan 
9/16/14,396784," University of Maryland, Baltimore County ",Fall,2014, PSYC335 , 978-0199567218 , Blindsight: a case study spanning 35 years and new developments , L. Weiskrantz ," May 24, 2009 ", RE725 .W45 2009 , N , Deleted 12/18; 1 loan 
9/16/14,859311," University of Maryland, Baltimore County ",Fall,2014, PSYC335 , 978-0452295544 , My Stroke of Insight , Jill Bolte Taylor ," May 26, 2009 ", RC388.5 .T387 2009 , N , Deleted 12/18; 1 loan 
4/22/11,631549," University of Maryland, Baltimore County ",Summer,2011, POLI373 ,9.78E+12, Politics and Change in the Middle East ," Anderson, Seibert, Wagner ",2011, DS62.8.A5 2012 , N , Deleted 9/1 
8/24/11,155345," University of Maryland, Baltimore County ",Fall,2011, POLI409 ,9.78E+12, Patterns of Democracy: Government Forms and Performance in 36 Countries , Aren Lijphart ,1999, JC421 .L542 1999 , N , Deleted 1/4 
8/24/11,212473," University of Maryland, Baltimore County ",Fall,2011, POLI409 ,9.78E+12," Problems of Democratic Transition and Consolidation: Southern Europe, South America, and Post-Commun "," Juan J Linz, Alfred Stepan ",1996, JC421 .L56 1996 , N , Deleted 1/4 
11/17/10,367506," University of Maryland, College Park ",Fall,2010, HLSA300 ,  , Health Care USA: understanding its organization and delivery , Harry A. Sultz and Kristina M. Young ,2009, RA395.A3S897 2009 , N , Deleted 1/20 
9/13/11,686693, Salisbury University ,Fall,2011, RESP210 ,  , Egan's fundamentals of respiratory care ," Robert L. Wilkins, James K. Stoller, Robert M. Kacmarek ",2009, RM161 .E37 2009 , N , Deleted 12/19 
8/26/14,215296, Salisbury University ,Fall,2014, RESP302 ,  , Wilkins' clinical assessment in respiratory care ," Albert J. Heuer, Craig L. Scanlan ",2014, RC776.R4 W55 2014 , N , Deleted 12/18; 1 loan 
9/13/11,247213, Salisbury University ,Fall,2011, RESP302 ,  , Clinical assessment in respiratory care ," Robert L. Wilkins, James R. Dexter ",2010, RC776.R4 W55 2010 , N , Deleted 12/19 
2/7/12,349728, Salisbury University ,Spring,2012, RESP321 ,  , Videos - The New England Journal of Medicine , The New England Journal of Medicine/Edward Lilef Sciences ,2006,  , N , Deleted 7/10; 0 loans 
11/8/11,413430, Salisbury University ,Fall,2011, RESP210 ,  , WORKBOOK Egan's fundamentals of respiratory care ," Robert L. Wilkins, James K. Stoller, Robert M. Kacmarek ",2009, RM161.E37 2009 , N , Deleted 12/19 
11/12/13,486090, Salisbury University ,Spring,2014, RESP322 ,  , Rau's respiratory care pharmacology , Douglas S. Gardenhire ,2012, REF RM388 .R383 2012 , N , 3 loans; Deleted 5/27 
8/15/14,512257, Salisbury University ,Fall,2014, RESP322 ,  , Workbook for Rau's Respiratory Care Pharmacology , Gardenhire ,2011, RM388 .R383 2012a , N , Deleted 12/18; 0 loans 
8/15/14,579210, Salisbury University ,Fall,2014, RESP322 , 978-0323075282 , Rau's Respiratory Care Pharmacology , Douglas Gardenhire ,2011, REF RM388.R383 2012 , N , Deleted 12/18; 0 loans 
8/15/14,591531, Salisbury University ,Fall,2014, RESP322 ,9.78E+12, Frequently Prescribed Medications: Drugs You Need to Know , Jason C. Gallagher ,2013, RM301.12 .F74 2014 , N , Deleted 12/18; 7 loans 
9/13/11,623653, Salisbury University ,Fall,2011, RESP302 ,  , Chest x-ray made easy , Jonathan Corne ,2002, REF RC941.C578 2002 , N , Deleted 12/19 
9/13/11,753454, Salisbury University ,Fall,2011, RESP302 ,  , Clinical practitioner's pocket guide to respiratory care , Dana F. Oakes ,2008, REF RC735.I5 O34 2008 , N , Deleted 12/19 
8/15/14,786993, Salisbury University ,Fall,2014, RESP302 , 978-0932887313 , Clinical Practitioner's Pocket Guide to Respiratory Care , Dana Oakes ,2008, REF RC735.I5034 2008 , N , Deleted 12/18; 0 loans 
8/14/14,941839, Salisbury University ,Fall,2014, RESP302 ,  , Chest X-Ray Made Easy , Jonathan Corne & Kate Pointon ,2010, QH513 .C67 2010 , N , Deleted 12/18; 0 loans 
1/5/11,260939, Bowie State University ,Spring,2011, CMTE445 ,  , Supplement Estimating in Building Construction ," Dagastino, Frank ",2003, REF TH435.D18 2003 , N , Deleted 5/24 
11/17/10,477871, Bowie State University ,Fall,2010, CMTE454 ,  , Practical Manual of Land Development , Barbara Colley ,2005,  , N , Deleted 1/18 
10/11/10,781818, Bowie State University ,Spring,2011, CMTE445 , 978-0876290163 , Means Unit Price Estimating Methods ," Means, R. S. ",2007, REF TH435 M442 2007 , N , Deleted 5/24 
10/11/10,897801, Bowie State University ,Spring,2011, CMTE445 , 978-0130604057 , Estimating in Building Construction ," Dagastino, Frank ",2002, REF TH435.D18 2003 , N , Deleted 5/24 
11/22/10,976846, Bowie State University ,Spring,2011, CMTE445 ,  , CD-ROM Estimating in Building Construction ," Dagastino, Frank ",2003, REF TH435.D18 2003 CD-ROM , N , Deleted 5/24 
1/16/16,348601," University of Maryland, College Park ",Spring,2016, BMGT417 ,9.78E+12," Taxation of Corporations, Partnerships and other entities "," Hogan, Kevin ",2016, HJ4652 .T387 2015 , N , On Reserve 02-02-16
2/1/16,128635, Salisbury University ,Spring,2016, EXSC333 ,9.78E+12, Manual Of Structural Kinesiology , Floyd , 05/01/2014 , QP303 .T58 2015 , N , on reserve 02-12-2016
2/1/16,257159, Salisbury University ,Spring,2016, HLTH325 ,9.78E+12, Assessment & Planning In Health Programs , Hodges , 01/01/2010 , RA440.5 .H63 2011 , N , on reserve 02-01-2016 (Duc) 
2/1/16,459244, Salisbury University ,Spring,2016, EXSC462 ,9.78E+12, Clinical Exercise Physiology ," Ehrman, Johnathan ", 07/29/2013 , RM725 .C582 2013 , N , Hold Date for patron ends 2-14-16
2/1/16,665299, Salisbury University ,Spring,2016, EXSC333 ,9.78E+12, Trail Guide To Movement , Biel , 01/01/2014 , QP301 .B467 2015 , N , on reserve 02-12-2016 (duc)
2/1/16,788866, Salisbury University ,Spring,2016, EXSC333 ,9.78E+12, Clinical Kinesiology & Anatomy (Lab Man) , Lippert , 01/01/2011 , QP303 .L533 2011eb , N , on reserve 02-12-2016 (Duc)
11/11/10,158473," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , DVD Tummy 2 Tummy: The Babywearing Instructional DVD ," Movie, DVD ",2005,  ,  ,  
1/12/12,209645," University of Maryland, Baltimore ",Spring,2012, NURS407 ,  , Core curriculum for maternal-newborn nursing 4th ed ," Mattson,Susan & Smith,Judy E. ",2011, RG951 .N33 2011 ,  , Entered 1/10 
11/11/10,214112," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Study Guide for Maternity & Women's Health Care ," Lowdermilk, Dietra Leonard ",2007,  ,  ,  
11/11/10,325145," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Maternal newborn nursing care plans ," Green, Carol J ",2004,  ,  ,  
12/5/11,327955," University of Maryland, Baltimore ",Spring,2012, NURS407 ,  , Maternity & newborn nursing : clinical companion , Shannon E. Perry ,2012, RG951 .M317 2012 , N , Entered 12/12 
11/11/10,428146," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Maternity & Women's Health Care ," Lowdermilk, Dietra Leonard ",2007,  ,  ,  
11/11/10,485392," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Nurses and families :a guide to family assessment and intervention ," Wright, Lorraine ",2005,  ,  ,  
1/12/12,531381," University of Maryland, Baltimore ",Spring,2012, NURS407 ,  , Nurses and families : a guide to family assessment and intervention ," Wright,Lorraine M.  & Leahey, Maureen ",2005, RT120.F34 W75 2009 , N , Entered 1/17 
11/11/10,533560," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Breast Feeding Techniques that Work! First Attachment Volume 1 ," Frantz, Kittie ",2005,  ,  ,  
11/11/10,536651," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Evidence-based practice in nursing & healthcare :a guide to best practice ," Fineout-Overholt, Ellen ",2011,  ,  ,  
11/11/10,674807," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , Core Curriculum for Maternal-Newborn Nursing ," Mattson, Susan ",2004,  ,  ,  
11/11/10,698693," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , VHS Comfort Measures for Childbirth: The Rebozo Way ," Movie, VHS ",2001,  ,  ,  
11/11/10,711784," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , CD-ROM Evidence-based practice in nursing & healthcare :a guide to best practice ," Fineout-Overholt, Ellen ",2011,  ,  ,  
1/12/12,713095," University of Maryland, Baltimore ",Spring,2012, NURS407 ,  , Maternity & women's health care 10th ed ," Lowdermilk, Deitra Leonard ",2011, RG951 .M318 2012 , N , Entered 1/18 
11/11/10,777723," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , VHS Gentle Birth Choices ," Movie, VHS ",2000,  ,  ,  
11/11/10,874644," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , VHS All My Babies: A Midwife's Own Story ," Movie, VHS ",2007,  ,  ,  
11/11/10,882773," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , VHS HypnoBirthing Stories ," Movie, VHS ",2000,  ,  ,  
11/11/10,906972," University of Maryland, Baltimore ",Fall,2010, NURS407 ,  , VHS World Birthday ," Movie, VHS ",2000,  ,  ,  
7/31/15,937424," University of Maryland, College Park ",Fall,2015, CCJS452 ,9.78E+12, American Corrections ," Todd Clear, Michael Reisig, George Cole ",2015, HV9471 .C57 2015 ,  , 29 LOANS 
11/8/11,347343, Towson University ,Fall,2011, ECED609 ,  , The Politics of Early Childhood Education , L.D. Soto ,2000, LB1139.25 .P65 2000 , Y , Deleted 12/21 
11/8/11,809963, Towson University ,Fall,2011, ECED609 ,  , The young child : development from prebirth through age eight , Margaret B. Puckett ,2009, HQ767.9 .B56 2009 , Y , Deleted 12/21 
10/11/10,154942, Bowie State University ,Spring,2011, CMTE488 , 978-0876298267 , Green Building: Project Planning ," Means, R. S. ",2006, REF TH880.G74 2006 , N , Deleted 5/24 
