Date,Month,Day,Year,Pid,Slotid,Count
2/12/12,2,12,2012,2,15,4
2/13/12,2,13,2012,1,15,23
2/13/12,2,13,2012,2,15,8
2/13/12,2,13,2012,5,15,1
2/14/12,2,14,2012,1,15,15
2/14/12,2,14,2012,2,15,4
2/15/12,2,15,2012,1,15,29
2/15/12,2,15,2012,2,15,9
2/16/12,2,16,2012,1,15,15
2/16/12,2,16,2012,2,15,3
2/19/12,2,19,2012,1,15,28
2/19/12,2,19,2012,2,15,9
2/19/12,2,19,2012,5,15,4
2/20/12,2,20,2012,1,15,21
2/20/12,2,20,2012,2,15,8
2/20/12,2,20,2012,5,15,1
2/21/12,2,21,2012,1,15,40
2/21/12,2,21,2012,2,15,7
2/21/12,2,21,2012,5,15,2
2/22/12,2,22,2012,1,15,31
2/22/12,2,22,2012,2,15,11
2/22/12,2,22,2012,5,15,2
2/23/12,2,23,2012,1,15,24
2/23/12,2,23,2012,2,15,4
2/26/12,2,26,2012,1,15,30
2/26/12,2,26,2012,2,15,5
2/27/12,2,27,2012,1,15,29
2/27/12,2,27,2012,2,15,8
2/28/12,2,28,2012,1,15,28
2/28/12,2,28,2012,2,15,7
5/2/10,5,2,2010,1,15,42
5/2/10,5,2,2010,2,15,25
5/3/10,5,3,2010,1,15,27
5/3/10,5,3,2010,2,15,7
5/3/10,5,3,2010,6,15,1
5/4/10,5,4,2010,1,15,29
5/4/10,5,4,2010,2,15,16
5/5/10,5,5,2010,1,15,8
5/5/10,5,5,2010,2,15,6
5/6/10,5,6,2010,1,15,24
5/6/10,5,6,2010,2,15,6
5/9/10,5,9,2010,1,15,42
5/9/10,5,9,2010,2,15,16
5/10/10,5,10,2010,1,15,46
5/10/10,5,10,2010,2,15,10
2/29/12,2,29,2012,1,15,33
2/29/12,2,29,2012,2,15,6
2/29/12,2,29,2012,5,15,2
3/1/12,3,1,2012,1,15,29
3/1/12,3,1,2012,2,15,8
3/1/12,3,1,2012,5,15,1
3/4/12,3,4,2012,1,15,28
3/4/12,3,4,2012,2,15,7
3/4/12,3,4,2012,5,15,1
3/5/12,3,5,2012,1,15,26
3/5/12,3,5,2012,2,15,10
3/5/12,3,5,2012,5,15,1
5/11/10,5,11,2010,1,15,38
5/11/10,5,11,2010,2,15,16
5/12/10,5,12,2010,1,15,41
5/12/10,5,12,2010,2,15,4
5/13/10,5,13,2010,1,15,32
5/13/10,5,13,2010,2,15,7
5/16/10,5,16,2010,1,15,43
5/16/10,5,16,2010,2,15,13
5/17/10,5,17,2010,1,15,28
5/17/10,5,17,2010,2,15,8
5/19/10,5,19,2010,1,15,19
5/19/10,5,19,2010,2,15,8
5/20/10,5,20,2010,1,15,21
5/20/10,5,20,2010,2,15,8
3/6/12,3,6,2012,1,15,38
3/6/12,3,6,2012,2,15,8
3/6/12,3,6,2012,5,15,1
3/7/12,3,7,2012,1,15,40
3/7/12,3,7,2012,2,15,9
3/7/12,3,7,2012,5,15,1
3/8/12,3,8,2012,1,15,28
3/8/12,3,8,2012,2,15,10
3/8/12,3,8,2012,5,15,1
3/11/12,3,11,2012,1,15,34
3/11/12,3,11,2012,2,15,12
12/1/09,12,1,2009,1,15,24
12/1/09,12,1,2009,2,15,2
12/2/09,12,2,2009,1,15,13
12/2/09,12,2,2009,2,15,7
12/3/09,12,3,2009,1,15,20
12/3/09,12,3,2009,2,15,10
12/6/09,12,6,2009,1,15,25
12/6/09,12,6,2009,2,15,7
12/7/09,12,7,2009,1,15,21
12/7/09,12,7,2009,2,15,8
12/8/09,12,8,2009,1,15,12
12/8/09,12,8,2009,2,15,5
12/9/09,12,9,2009,1,15,20
12/9/09,12,9,2009,2,15,12
12/10/09,12,10,2009,1,15,16
12/10/09,12,10,2009,2,15,6
3/12/12,3,12,2012,1,15,32
3/12/12,3,12,2012,2,15,9
12/13/09,12,13,2009,1,15,37
12/13/09,12,13,2009,2,15,7
12/14/09,12,14,2009,1,15,21
12/14/09,12,14,2009,2,15,12
12/15/09,12,15,2009,1,15,30
12/15/09,12,15,2009,2,15,3
12/16/09,12,16,2009,1,15,18
12/16/09,12,16,2009,2,15,8
12/17/09,12,17,2009,1,15,6
12/17/09,12,17,2009,2,15,5
3/13/12,3,13,2012,1,15,30
3/13/12,3,13,2012,2,15,11
3/13/12,3,13,2012,5,15,2
3/14/12,3,14,2012,1,15,22
3/14/12,3,14,2012,2,15,7
2/1/09,2,1,2009,1,15,4
2/1/09,2,1,2009,2,15,4
3/15/12,3,15,2012,1,15,7
3/15/12,3,15,2012,2,15,3
3/18/12,3,18,2012,1,15,8
3/18/12,3,18,2012,2,15,5
3/19/12,3,19,2012,1,15,10
3/19/12,3,19,2012,2,15,5
3/19/12,3,19,2012,5,15,1
3/20/12,3,20,2012,1,15,9
3/20/12,3,20,2012,2,15,8
3/21/12,3,21,2012,1,15,15
3/21/12,3,21,2012,2,15,6
3/21/12,3,21,2012,5,15,1
3/22/12,3,22,2012,1,15,14
3/22/12,3,22,2012,2,15,8
3/25/12,3,25,2012,1,15,20
3/25/12,3,25,2012,2,15,11
3/25/12,3,25,2012,5,15,1
10/1/09,10,1,2009,1,15,23
10/1/09,10,1,2009,2,15,9
3/26/12,3,26,2012,1,15,16
3/26/12,3,26,2012,2,15,14
3/27/12,3,27,2012,1,15,60
3/27/12,3,27,2012,2,15,27
3/27/12,3,27,2012,5,15,3
3/28/12,3,28,2012,1,15,23
3/28/12,3,28,2012,2,15,7
3/28/12,3,28,2012,5,15,1
12/1/11,12,1,2011,5,15,1
12/6/11,12,6,2011,1,15,26
12/6/11,12,6,2011,2,15,3
12/6/11,12,6,2011,5,15,1
12/7/11,12,7,2011,1,15,32
12/7/11,12,7,2011,2,15,8
12/7/11,12,7,2011,5,15,1
12/8/11,12,8,2011,1,15,32
12/8/11,12,8,2011,2,15,12
3/29/12,3,29,2012,1,15,20
3/29/12,3,29,2012,2,15,7
12/21/11,12,21,2011,1,15,8
12/21/11,12,21,2011,2,15,2
4/1/12,4,1,2012,1,15,20
4/1/12,4,1,2012,2,15,5
4/1/12,4,1,2012,5,15,1
4/2/12,4,2,2012,1,15,25
4/2/12,4,2,2012,2,15,6
4/3/12,4,3,2012,1,15,36
4/3/12,4,3,2012,2,15,15
4/4/12,4,4,2012,1,15,21
4/4/12,4,4,2012,2,15,7
4/5/12,4,5,2012,1,15,21
4/5/12,4,5,2012,2,15,15
4/5/12,4,5,2012,5,15,1
2/28/10,2,28,2010,1,15,10
2/28/10,2,28,2010,2,15,6
4/8/12,4,8,2012,1,15,12
4/8/12,4,8,2012,2,15,12
4/8/12,4,8,2012,5,15,3
4/9/12,4,9,2012,1,15,22
4/9/12,4,9,2012,2,15,5
4/9/12,4,9,2012,5,15,2
4/10/12,4,10,2012,1,15,30
4/10/12,4,10,2012,2,15,9
4/11/12,4,11,2012,1,15,29
4/11/12,4,11,2012,2,15,14
4/11/12,4,11,2012,5,15,1
4/12/12,4,12,2012,1,15,19
4/12/12,4,12,2012,2,15,6
4/12/12,4,12,2012,5,15,2
4/15/12,4,15,2012,1,15,23
4/15/12,4,15,2012,2,15,6
4/15/12,4,15,2012,5,15,2
4/16/12,4,16,2012,1,15,21
4/16/12,4,16,2012,2,15,12
4/17/12,4,17,2012,1,15,17
4/17/12,4,17,2012,2,15,9
4/17/12,4,17,2012,5,15,1
4/18/12,4,18,2012,1,15,29
4/18/12,4,18,2012,2,15,6
4/18/12,4,18,2012,5,15,1
4/19/12,4,19,2012,1,15,19
4/19/12,4,19,2012,2,15,9
4/19/12,4,19,2012,5,15,1
4/22/12,4,22,2012,1,15,18
4/22/12,4,22,2012,2,15,6
4/22/12,4,22,2012,5,15,1
4/23/12,4,23,2012,1,15,22
4/23/12,4,23,2012,2,15,7
4/23/12,4,23,2012,5,15,2
4/24/12,4,24,2012,1,15,31
4/24/12,4,24,2012,2,15,18
4/24/12,4,24,2012,5,15,2
4/25/12,4,25,2012,1,15,23
4/25/12,4,25,2012,2,15,8
4/25/12,4,25,2012,5,15,1
4/26/12,4,26,2012,1,15,12
4/26/12,4,26,2012,2,15,10
4/26/12,4,26,2012,5,15,2
4/29/12,4,29,2012,1,15,24
4/29/12,4,29,2012,2,15,9
4/29/12,4,29,2012,5,15,1
4/30/12,4,30,2012,1,15,30
4/30/12,4,30,2012,2,15,10
5/1/12,5,1,2012,1,15,17
5/1/12,5,1,2012,2,15,13
5/2/12,5,2,2012,1,15,24
5/2/12,5,2,2012,2,15,7
5/3/12,5,3,2012,1,15,33
5/3/12,5,3,2012,2,15,8
5/3/12,5,3,2012,5,15,1
5/6/12,5,6,2012,1,15,25
5/6/12,5,6,2012,2,15,10
5/6/12,5,6,2012,5,15,2
5/7/12,5,7,2012,1,15,42
5/7/12,5,7,2012,2,15,11
5/7/12,5,7,2012,5,15,2
5/8/12,5,8,2012,1,15,42
5/8/12,5,8,2012,2,15,12
5/8/12,5,8,2012,5,15,2
5/9/12,5,9,2012,1,15,39
5/9/12,5,9,2012,2,15,5
5/9/12,5,9,2012,5,15,2
5/10/12,5,10,2012,1,15,31
5/10/12,5,10,2012,2,15,11
5/13/12,5,13,2012,1,15,29
5/13/12,5,13,2012,2,15,4
5/13/12,5,13,2012,5,15,1
5/14/12,5,14,2012,1,15,47
5/14/12,5,14,2012,2,15,11
5/14/12,5,14,2012,5,15,4
5/15/12,5,15,2012,1,15,45
5/15/12,5,15,2012,2,15,11
5/16/12,5,16,2012,1,15,36
5/16/12,5,16,2012,2,15,8
5/16/12,5,16,2012,5,15,3
5/17/12,5,17,2012,1,15,17
5/17/12,5,17,2012,2,15,2
5/20/12,5,20,2012,1,15,8
5/20/12,5,20,2012,2,15,2
5/20/12,5,20,2012,5,15,1
5/21/12,5,21,2012,1,15,3
5/21/12,5,21,2012,2,15,7
5/21/12,5,21,2012,5,15,1
5/22/12,5,22,2012,1,15,7
5/22/12,5,22,2012,2,15,2
5/22/12,5,22,2012,5,15,2
5/23/12,5,23,2012,1,15,4
5/23/12,5,23,2012,2,15,3
5/24/12,5,24,2012,1,15,2
5/24/12,5,24,2012,2,15,1
5/24/12,5,24,2012,5,15,1
8/24/12,8,24,2012,1,15,1
9/4/12,9,4,2012,1,15,1
9/4/12,9,4,2012,2,15,2
9/4/12,9,4,2012,4,15,3
9/5/12,9,5,2012,1,15,5
9/5/12,9,5,2012,2,15,4
9/5/12,9,5,2012,4,15,3
9/6/12,9,6,2012,1,15,5
9/6/12,9,6,2012,2,15,2
9/9/12,9,9,2012,1,15,5
9/9/12,9,9,2012,2,15,6
9/9/12,9,9,2012,4,15,2
9/10/12,9,10,2012,1,15,14
9/10/12,9,10,2012,2,15,12
9/10/12,9,10,2012,4,15,4
9/11/12,9,11,2012,1,15,10
9/11/12,9,11,2012,2,15,8
9/11/12,9,11,2012,4,15,8
9/11/12,9,11,2012,5,15,1
9/12/12,9,12,2012,1,15,15
9/12/12,9,12,2012,2,15,12
9/12/12,9,12,2012,4,15,6
9/13/12,9,13,2012,1,15,10
9/13/12,9,13,2012,2,15,9
9/13/12,9,13,2012,4,15,5
9/16/12,9,16,2012,1,15,10
9/16/12,9,16,2012,2,15,6
9/16/12,9,16,2012,4,15,2
9/17/12,9,17,2012,1,15,12
9/17/12,9,17,2012,2,15,5
9/17/12,9,17,2012,4,15,7
9/18/12,9,18,2012,1,15,17
9/18/12,9,18,2012,2,15,8
9/18/12,9,18,2012,4,15,9
9/18/12,9,18,2012,5,15,1
9/19/12,9,19,2012,1,15,29
9/19/12,9,19,2012,2,15,13
9/19/12,9,19,2012,4,15,16
9/19/12,9,19,2012,5,15,2
9/20/12,9,20,2012,1,15,5
9/20/12,9,20,2012,2,15,5
9/20/12,9,20,2012,4,15,4
9/23/12,9,23,2012,1,15,5
9/23/12,9,23,2012,2,15,13
9/23/12,9,23,2012,4,15,12
9/23/12,9,23,2012,5,15,6
9/24/12,9,24,2012,1,15,15
9/24/12,9,24,2012,2,15,13
9/24/12,9,24,2012,4,15,12
9/24/12,9,24,2012,5,15,2
9/25/12,9,25,2012,1,15,17
9/25/12,9,25,2012,2,15,8
9/25/12,9,25,2012,4,15,5
9/25/12,9,25,2012,5,15,2
9/26/12,9,26,2012,1,15,21
9/26/12,9,26,2012,2,15,7
9/26/12,9,26,2012,4,15,13
9/26/12,9,26,2012,5,15,3
9/27/12,9,27,2012,1,15,13
9/27/12,9,27,2012,2,15,8
9/27/12,9,27,2012,4,15,8
9/27/12,9,27,2012,5,15,2
9/30/12,9,30,2012,1,15,11
9/30/12,9,30,2012,2,15,9
9/30/12,9,30,2012,4,15,3
9/30/12,9,30,2012,5,15,2
10/1/12,10,1,2012,1,15,11
10/1/12,10,1,2012,2,15,6
10/1/12,10,1,2012,4,15,11
10/1/12,10,1,2012,5,15,2
10/2/12,10,2,2012,1,15,14
10/2/12,10,2,2012,2,15,9
10/2/12,10,2,2012,4,15,10
10/2/12,10,2,2012,5,15,2
10/3/12,10,3,2012,1,15,17
10/3/12,10,3,2012,2,15,10
10/3/12,10,3,2012,4,15,16
10/3/12,10,3,2012,5,15,2
10/4/12,10,4,2012,1,15,16
10/4/12,10,4,2012,2,15,10
10/4/12,10,4,2012,4,15,10
10/4/12,10,4,2012,5,15,1
10/7/12,10,7,2012,1,15,11
10/7/12,10,7,2012,2,15,11
10/7/12,10,7,2012,4,15,10
10/7/12,10,7,2012,5,15,1
10/8/12,10,8,2012,1,15,19
10/8/12,10,8,2012,2,15,10
10/8/12,10,8,2012,4,15,16
10/8/12,10,8,2012,5,15,2
10/9/12,10,9,2012,1,15,18
10/9/12,10,9,2012,2,15,14
10/9/12,10,9,2012,4,15,13
10/9/12,10,9,2012,5,15,2
10/10/12,10,10,2012,1,15,12
10/10/12,10,10,2012,2,15,14
10/10/12,10,10,2012,4,15,10
10/10/12,10,10,2012,5,15,2
10/11/12,10,11,2012,1,15,10
10/11/12,10,11,2012,2,15,4
10/11/12,10,11,2012,4,15,7
10/11/12,10,11,2012,5,15,1
10/14/12,10,14,2012,1,15,13
10/14/12,10,14,2012,2,15,9
10/14/12,10,14,2012,4,15,10
10/14/12,10,14,2012,5,15,1
10/15/12,10,15,2012,1,15,21
10/15/12,10,15,2012,2,15,4
10/15/12,10,15,2012,4,15,17
10/15/12,10,15,2012,5,15,2
10/16/12,10,16,2012,1,15,14
10/16/12,10,16,2012,2,15,10
10/16/12,10,16,2012,4,15,15
10/16/12,10,16,2012,5,15,2
10/17/12,10,17,2012,1,15,12
10/17/12,10,17,2012,2,15,6
10/17/12,10,17,2012,4,15,12
10/17/12,10,17,2012,5,15,1
10/18/12,10,18,2012,1,15,9
10/18/12,10,18,2012,2,15,2
10/18/12,10,18,2012,4,15,8
10/18/12,10,18,2012,5,15,1
10/21/12,10,21,2012,1,15,17
10/21/12,10,21,2012,2,15,3
10/21/12,10,21,2012,4,15,10
10/21/12,10,21,2012,5,15,1
10/22/12,10,22,2012,2,15,9
10/22/12,10,22,2012,1,15,17
10/22/12,10,22,2012,4,15,15
10/22/12,10,22,2012,5,15,2
10/23/12,10,23,2012,1,15,22
10/23/12,10,23,2012,2,15,13
10/23/12,10,23,2012,4,15,16
10/24/12,10,24,2012,1,15,14
10/24/12,10,24,2012,2,15,13
10/24/12,10,24,2012,4,15,8
10/24/12,10,24,2012,5,15,2
10/25/12,10,25,2012,1,15,16
10/25/12,10,25,2012,2,15,7
10/25/12,10,25,2012,4,15,12
10/31/12,10,31,2012,1,15,9
10/31/12,10,31,2012,2,15,6
10/31/12,10,31,2012,4,15,7
11/1/12,11,1,2012,1,15,23
11/1/12,11,1,2012,2,15,2
11/1/12,11,1,2012,4,15,5
11/4/12,11,4,2012,1,15,9
11/4/12,11,4,2012,2,15,10
11/4/12,11,4,2012,4,15,4
11/4/12,11,4,2012,5,15,2
11/5/12,11,5,2012,1,15,14
11/5/12,11,5,2012,2,15,7
11/5/12,11,5,2012,4,15,13
11/6/12,11,6,2012,2,15,4
11/6/12,11,6,2012,1,15,23
11/6/12,11,6,2012,4,15,13
11/6/12,11,6,2012,5,15,3
11/7/12,11,7,2012,1,15,19
11/7/12,11,7,2012,2,15,12
11/7/12,11,7,2012,4,15,9
11/8/12,11,8,2012,1,15,13
11/8/12,11,8,2012,2,15,4
11/8/12,11,8,2012,4,15,6
11/8/12,11,8,2012,5,15,3
11/11/12,11,11,2012,1,15,23
11/11/12,11,11,2012,2,15,11
11/11/12,11,11,2012,4,15,6
11/11/12,11,11,2012,5,15,2
11/12/12,11,12,2012,1,15,15
11/12/12,11,12,2012,2,15,7
11/12/12,11,12,2012,4,15,16
11/12/12,11,12,2012,5,15,1
11/13/12,11,13,2012,1,15,13
11/13/12,11,13,2012,2,15,14
11/13/12,11,13,2012,4,15,10
11/14/12,11,14,2012,1,15,21
11/14/12,11,14,2012,2,15,3
11/14/12,11,14,2012,4,15,9
11/15/12,11,15,2012,1,15,22
11/15/12,11,15,2012,2,15,11
11/15/12,11,15,2012,4,15,5
11/15/12,11,15,2012,5,15,1
11/18/12,11,18,2012,1,15,18
11/18/12,11,18,2012,2,15,14
11/18/12,11,18,2012,4,15,7
11/18/12,11,18,2012,5,15,3
11/19/12,11,19,2012,1,15,20
11/19/12,11,19,2012,2,15,14
11/19/12,11,19,2012,4,15,11
11/20/12,11,20,2012,1,15,15
11/20/12,11,20,2012,4,15,9
11/20/12,11,20,2012,2,15,12
11/25/12,11,25,2012,1,15,13
11/25/12,11,25,2012,2,15,9
11/25/12,11,25,2012,4,15,5
11/26/12,11,26,2012,1,15,16
11/26/12,11,26,2012,2,15,16
11/26/12,11,26,2012,4,15,8
11/26/12,11,26,2012,5,15,1
11/27/12,11,27,2012,1,15,32
11/27/12,11,27,2012,2,15,2
11/27/12,11,27,2012,4,15,17
11/27/12,11,27,2012,5,15,3
11/28/12,11,28,2012,1,15,25
11/28/12,11,28,2012,2,15,9
11/28/12,11,28,2012,4,15,25
11/28/12,11,28,2012,5,15,3
11/29/12,11,29,2012,1,15,24
11/29/12,11,29,2012,2,15,2
11/29/12,11,29,2012,4,15,14
11/29/12,11,29,2012,5,15,3
12/2/12,12,2,2012,1,15,15
12/2/12,12,2,2012,2,15,11
12/2/12,12,2,2012,4,15,9
12/2/12,12,2,2012,5,15,2
12/3/12,12,3,2012,1,15,27
12/3/12,12,3,2012,2,15,9
12/3/12,12,3,2012,4,15,19
12/3/12,12,3,2012,5,15,2
12/4/12,12,4,2012,1,15,25
12/4/12,12,4,2012,2,15,14
12/4/12,12,4,2012,4,15,15
12/4/12,12,4,2012,5,15,2
12/5/12,12,5,2012,1,15,35
12/5/12,12,5,2012,2,15,5
12/5/12,12,5,2012,4,15,18
12/5/12,12,5,2012,5,15,2
12/6/12,12,6,2012,1,15,23
12/6/12,12,6,2012,2,15,11
12/6/12,12,6,2012,4,15,10
12/6/12,12,6,2012,5,15,2
12/9/12,12,9,2012,1,15,25
12/9/12,12,9,2012,2,15,15
12/9/12,12,9,2012,4,15,10
12/9/12,12,9,2012,5,15,2
12/10/12,12,10,2012,1,15,44
12/10/12,12,10,2012,2,15,9
12/10/12,12,10,2012,4,15,20
12/10/12,12,10,2012,5,15,1
12/11/12,12,11,2012,1,15,53
12/11/12,12,11,2012,2,15,6
12/11/12,12,11,2012,4,15,21
12/11/12,12,11,2012,5,15,3
12/12/12,12,12,2012,1,15,65
12/12/12,12,12,2012,2,15,16
12/12/12,12,12,2012,4,15,17
12/13/12,12,13,2012,1,15,40
12/13/12,12,13,2012,2,15,13
12/13/12,12,13,2012,4,15,16
12/13/12,12,13,2012,5,15,1
12/14/12,12,14,2012,1,15,37
12/14/12,12,14,2012,2,15,7
12/14/12,12,14,2012,4,15,7
12/16/12,12,16,2012,1,15,34
12/16/12,12,16,2012,2,15,9
12/16/12,12,16,2012,4,15,18
12/16/12,12,16,2012,5,15,2
12/17/12,12,17,2012,1,15,17
12/17/12,12,17,2012,2,15,3
12/17/12,12,17,2012,4,15,16
12/17/12,12,17,2012,5,15,3
12/18/12,12,18,2012,1,15,20
12/18/12,12,18,2012,2,15,10
12/18/12,12,18,2012,4,15,32
12/18/12,12,18,2012,5,15,1
12/19/12,12,19,2012,1,15,10
12/19/12,12,19,2012,2,15,3
12/19/12,12,19,2012,4,15,2
12/20/12,12,20,2012,1,15,2
12/20/12,12,20,2012,2,15,1
12/20/12,12,20,2012,4,15,2
2/10/13,2,10,2013,1,15,3
2/10/13,2,10,2013,2,15,5
2/10/13,2,10,2013,4,15,3
2/10/13,2,10,2013,5,15,1
2/11/13,2,11,2013,1,15,5
2/11/13,2,11,2013,2,15,11
2/11/13,2,11,2013,4,15,5
2/11/13,2,11,2013,5,15,1
2/12/13,2,12,2013,1,15,10
2/12/13,2,12,2013,2,15,8
2/12/13,2,12,2013,4,15,4
2/12/13,2,12,2013,5,15,2
2/13/13,2,13,2013,1,15,5
2/13/13,2,13,2013,2,15,6
2/13/13,2,13,2013,4,15,3
2/14/13,2,14,2013,1,15,4
2/14/13,2,14,2013,2,15,8
2/14/13,2,14,2013,4,15,6
2/17/13,2,17,2013,1,15,11
2/17/13,2,17,2013,2,15,11
2/17/13,2,17,2013,4,15,6
2/17/13,2,17,2013,5,15,2
2/18/13,2,18,2013,1,15,12
2/18/13,2,18,2013,2,15,13
2/18/13,2,18,2013,4,15,7
2/19/13,2,19,2013,1,15,17
2/19/13,2,19,2013,2,15,10
2/19/13,2,19,2013,4,15,5
2/19/13,2,19,2013,5,15,1
2/20/13,2,20,2013,1,15,13
2/20/13,2,20,2013,2,15,11
2/20/13,2,20,2013,4,15,12
2/21/13,2,21,2013,1,15,12
2/21/13,2,21,2013,2,15,9
2/21/13,2,21,2013,4,15,7
2/24/13,2,24,2013,1,15,16
2/24/13,2,24,2013,2,15,8
2/24/13,2,24,2013,4,15,6
2/25/13,2,25,2013,1,15,16
2/25/13,2,25,2013,2,15,13
2/25/13,2,25,2013,4,15,4
2/26/13,2,26,2013,1,15,21
2/26/13,2,26,2013,2,15,5
2/26/13,2,26,2013,4,15,8
2/27/13,2,27,2013,1,15,27
2/27/13,2,27,2013,2,15,8
2/27/13,2,27,2013,4,15,14
2/27/13,2,27,2013,5,15,1
2/28/13,2,28,2013,1,15,37
2/28/13,2,28,2013,2,15,7
2/28/13,2,28,2013,4,15,14
2/28/13,2,28,2013,5,15,2
3/3/13,3,3,2013,1,15,12
3/3/13,3,3,2013,2,15,9
3/3/13,3,3,2013,4,15,13
3/4/13,3,4,2013,1,15,11
3/4/13,3,4,2013,2,15,12
3/4/13,3,4,2013,4,15,9
3/4/13,3,4,2013,5,15,1
3/7/13,3,7,2013,1,15,12
3/7/13,3,7,2013,2,15,10
3/7/13,3,7,2013,4,15,15
3/10/13,3,10,2013,1,15,23
3/10/13,3,10,2013,2,15,12
3/10/13,3,10,2013,4,15,15
3/10/13,3,10,2013,5,15,4
3/11/13,3,11,2013,1,15,22
3/11/13,3,11,2013,2,15,3
3/11/13,3,11,2013,4,15,15
3/11/13,3,11,2013,5,15,1
3/12/13,3,12,2013,1,15,18
3/12/13,3,12,2013,2,15,11
3/12/13,3,12,2013,4,15,26
3/13/13,3,13,2013,1,15,22
3/13/13,3,13,2013,2,15,9
3/13/13,3,13,2013,4,15,20
3/14/13,3,14,2013,1,15,5
3/14/13,3,14,2013,2,15,3
3/14/13,3,14,2013,4,15,10
3/17/13,3,17,2013,1,15,5
3/17/13,3,17,2013,2,15,3
3/18/13,3,18,2013,1,15,6
3/18/13,3,18,2013,2,15,3
3/18/13,3,18,2013,4,15,5
3/19/13,3,19,2013,1,15,6
3/19/13,3,19,2013,2,15,3
3/19/13,3,19,2013,4,15,2
3/20/13,3,20,2013,1,15,5
3/20/13,3,20,2013,2,15,3
3/20/13,3,20,2013,4,15,7
3/21/13,3,21,2013,1,15,8
3/21/13,3,21,2013,2,15,7
3/21/13,3,21,2013,4,15,3
3/24/13,3,24,2013,1,15,11
3/24/13,3,24,2013,2,15,6
3/24/13,3,24,2013,4,15,6
3/26/13,3,26,2013,1,15,19
3/26/13,3,26,2013,2,15,5
3/26/13,3,26,2013,4,15,9
3/26/13,3,26,2013,5,15,2
3/27/13,3,27,2013,1,15,11
3/27/13,3,27,2013,2,15,13
3/27/13,3,27,2013,4,15,9
3/28/13,3,28,2013,1,15,9
3/28/13,3,28,2013,2,15,9
3/28/13,3,28,2013,4,15,5
3/31/13,3,31,2013,1,15,12
3/31/13,3,31,2013,2,15,7
3/31/13,3,31,2013,4,15,16
3/31/13,3,31,2013,5,15,1
4/1/13,4,1,2013,1,15,16
4/1/13,4,1,2013,2,15,12
4/1/13,4,1,2013,4,15,10
4/2/13,4,2,2013,1,15,13
4/2/13,4,2,2013,2,15,8
4/2/13,4,2,2013,4,15,14
4/2/13,4,2,2013,5,15,1
4/3/13,4,3,2013,1,15,13
4/3/13,4,3,2013,2,15,10
4/3/13,4,3,2013,4,15,11
4/4/13,4,4,2013,1,15,11
4/4/13,4,4,2013,2,15,6
4/4/13,4,4,2013,4,15,5
4/7/13,4,7,2013,1,15,12
